Date,luxury,quiet_luxury,silent_luxury,minimalist_fashion,timeless_basics,capsule_wardrobe,thrift_store,second_hand_clothing,vintage_clothing,short_skirts,mini_skirts,fast_fashion,statement_pieces
2023-10-01,83,74,0,49,0,54,65,66,37,34,83,84,0
2023-11-01,80,53,0,0,0,46,68,55,39,41,81,68,0
2023-12-01,85,68,0,0,0,54,69,49,40,42,71,26,0
2024-01-01,100,62,0,0,0,75,83,70,42,29,81,26,0
2024-02-01,88,61,0,0,0,62,73,61,37,38,73,54,91
2024-03-01,84,73,0,58,0,81,77,70,44,34,78,74,0
2024-04-01,88,78,0,0,0,86,98,71,47,35,60,65,0
2024-05-01,83,53,0,0,0,69,72,69,40,30,60,100,0
2024-06-01,86,62,0,0,0,64,91,57,41,30,69,69,0
2024-07-01,89,58,0,0,0,64,78,65,44,23,50,65,0
2024-08-01,85,47,0,0,0,59,70,59,43,27,67,92,0
2024-09-01,90,70,0,0,0,60,66,78,39,32,86,77,0
2024-10-01,87,66,0,0,0,43,77,64,42,36,100,88,0
2024-11-01,81,57,100,0,0,43,75,56,42,35,94,79,97
2024-12-01,81,72,0,0,0,37,77,66,38,31,89,30,0
