Date,Unemployment Rate (%),CPI_Index,Seasonally Adjusted Turnover ($m),Retail_Data_Available
2022-04-01,3.85,123.9,33925.0,True
2022-05-01,3.9,123.9,34079.6,True
2022-06-01,3.55,126.1,34361.9,True
2022-07-01,3.45,126.1,34706.4,True
2022-08-01,3.5,126.1,34816.2,True
2022-09-01,3.55,128.4,35008.8,True
2022-10-01,3.4,128.4,35119.8,True
2022-11-01,3.45,128.4,35194.6,True
2022-12-01,3.5,130.8,34972.4,True
2023-01-01,3.7,130.8,35343.8,True
2023-02-01,3.55,130.8,35314.2,True
2023-03-01,3.55,132.6,35425.2,True
2023-04-01,3.7,132.6,35403.6,True
2023-05-01,3.6,132.6,35494.0,True
2023-06-01,3.5,133.7,35152.1,True
2023-07-01,3.7,133.7,35360.6,True
2023-08-01,3.7,133.7,35393.6,True
2023-09-01,3.6,135.3,35681.1,True
2023-10-01,3.75,135.3,35523.0,True
2023-11-01,3.9,135.3,35909.2,True
2023-12-01,3.95,136.1,35320.7,True
2024-01-01,4.1,136.1,35688.9,True
2024-02-01,3.7,136.1,35864.8,True
2024-03-01,3.85,137.4,35729.1,True
2024-04-01,4.1,137.4,35893.0,True
2024-05-01,4.0,137.4,36188.8,True
2024-06-01,4.1,138.8,36146.8,True
2024-07-01,4.2,138.8,36209.4,True
2024-08-01,4.15,138.8,36478.2,True
2024-09-01,4.1,139.1,36547.0,True
2024-10-01,4.1,139.1,36749.7,True
2024-11-01,3.9,139.1,36967.4,True
2024-12-01,4.0,139.4,36927.5,True
