,luxury,quiet_luxury,silent_luxury,minimalist_fashion,timeless_basics,capsule_wardrobe,thrift_store,second_hand_clothing,vintage_clothing,short_skirts,mini_skirts,fast_fashion,statement_pieces
Unemployment Rate (%),-0.41800869197350643,-0.5497560751363969,-0.1724748864018485,0.04934715470451692,0.0257792570734733,-0.511208317370843,-0.5143203687411397,-0.010991889758052932,0.32453569528721093,0.3701946077501788,-0.21426428783890356,-0.6330777080788894,-0.07106495640516843
CPI_Index,0.7701679729047547,0.7048581594600833,0.20635236342015034,0.047368358834599694,-0.013938460956200062,0.8627228212740378,0.8281057455552686,-0.24206160810508467,-0.7800074063877107,-0.8383341656592295,0.13110814962582792,0.8488837092739628,0.1714879747846463
Seasonally Adjusted Turnover ($m),0.6546588926889396,0.4935277110417313,0.1494063167666992,-0.07881537262042083,-0.06565041581969208,0.6452650009637788,0.7934048913658852,-0.3021440160220931,-0.5433516900065023,-0.7291221833654417,0.1422557087656161,0.7804354365736165,0.1096753363883039
